iter	Passed	Remaining
0	2	239
1	4	211
2	5	191
3	7	171
4	8	165
5	10	157
6	11	153
7	13	152
8	15	155
9	17	155
10	18	152
11	20	151
12	22	149
13	24	150
14	26	148
15	27	145
16	29	143
17	31	145
18	33	144
19	35	142
20	37	140
21	39	139
22	42	140
23	45	143
24	47	141
25	50	142
26	52	141
27	54	139
28	56	137
29	60	141
30	62	139
31	64	137
32	66	135
33	68	133
34	70	131
35	72	129
36	75	127
37	77	126
38	79	123
39	82	123
40	84	121
41	85	118
42	87	116
43	89	114
44	91	111
45	94	111
46	98	110
47	100	109
48	102	106
49	105	105
50	107	103
51	109	101
52	111	98
53	113	96
54	114	93
55	117	92
56	119	90
57	121	88
58	123	86
59	131	87
60	134	86
61	136	83
62	138	81
63	140	79
64	142	76
65	148	76
66	150	74
67	152	71
68	154	69
69	158	67
70	159	65
71	162	63
72	163	60
73	165	58
74	167	55
75	168	53
76	171	51
77	173	48
78	175	46
79	176	44
80	181	42
81	183	40
82	186	38
83	189	36
84	191	33
85	202	32
86	205	30
87	207	28
88	208	25
89	210	23
90	211	20
91	213	18
92	214	16
93	217	13
94	219	11
95	220	9
96	222	6
97	224	4
98	226	2
99	227	0
